doi,type_code,downloads,views,age,i,citation,datarank_value
10.6084/m9.figshare.106269,3,20,376,6.0,1717986918452,4,0.9433410893062509
10.6084/m9.figshare.3405685,4,336,504,3.0,1717986918688,1,1.0020006094216107
10.6084/m9.figshare.384505,3,23,421,6.0,1717986918711,2,0.9457843950155186
10.6084/m9.figshare.5815959.v1,2,106,107,1.0,1717986918957,1,1.0025314576460562
10.6084/m9.figshare.646166,3,19,206,6.0,1717986919052,1,0.9441193481520818
10.6084/m9.figshare.1373854.v1,6,583,304,4.0,1717986918529,1,0.9865031429672796
10.6084/m9.figshare.157209,3,30,422,6.0,1717986918623,2,0.943555566305821
10.6084/m9.figshare.4587061.v1,2,50,259,2.0,1717986918765,1,0.9831228252202889
10.6084/m9.figshare.4928684,4,101,509,2.0,1717986918815,1,0.9816008046239261
10.6084/m9.figshare.5743314,2,5,22,1.0,1717986918939,1,1.0003288181348409
10.6084/m9.figshare.6179084.v1,7,23,79,1.0,1717986919011,1,1.0118926755687225
10.6084/m9.figshare.1285615,4,2665,2981,4.0,1717986918507,1,0.9616333906681659
10.6084/m9.figshare.5981551,3,3,30,1.0,1717986918997,1,1.004029252513683
10.6084/m9.figshare.638007,3,43,383,6.0,1717986919029,1,0.9434639070780841
10.6084/m9.figshare.679840,3,31,194,6.0,1717986919100,1,0.9441193481520818
10.6084/m9.figshare.811811,3,27,541,6.0,1717986919177,1,0.9441193481520818
10.6084/m9.figshare.106725,4,32,321,6.0,1717986918463,2,0.9424373377464867
10.6084/m9.figshare.1305770.v22,3,23174,25590,2.0,1717986918518,1,0.9976729467623988
10.6084/m9.figshare.3190159.v1,6,18,126,3.0,1717986918672,1,0.9918736200609718
10.6084/m9.figshare.3486551.v1,4,91,164,3.0,1717986918700,1,0.9722563577608291
10.6084/m9.figshare.4110033.v1,9,51,246,3.0,1717986918726,1,0.974435830000182
10.6084/m9.figshare.4659151.v1,3,25,144,2.0,1717986918779,2,1.055196976100378
10.6084/m9.figshare.5640931,1,19,106,2.0,1717986918917,1,0.9913979589389988
10.6084/m9.figshare.93272,4,316,556,7.0,1717986919257,2,0.9329713451507995
10.6084/m9.figshare.154969,3,58,521,6.0,1717986918588,2,0.9441804894302477
10.6084/m9.figshare.806234,4,74,380,6.0,1717986919169,2,0.9461424656927309
10.6084/m9.figshare.1030416,6,350,696,5.0,1717986918406,1,0.9528570239713086
10.6084/m9.figshare.153796,4,13,255,6.0,1717986918576,2,0.9441193481520818
10.6084/m9.figshare.4806631,3,227,421,2.0,1717986918806,2,0.9850503155359923
10.6084/m9.figshare.5900236.v1,3,4,39,1.0,1717986918975,1,1.0013235585592606
10.6084/m9.figshare.6789899,3,53,24,1.0,1717986919084,1,1.0150130815429446
10.6084/m9.figshare.97571,3,18,278,7.0,1717986919325,2,0.9329713451507995
10.6084/m9.figshare.5815956.v1,2,131,217,1.0,1717986918956,1,1.0025314576460562
10.6084/m9.figshare.5892748,1,13,48,1.0,1717986918970,1,1.0106078025205134
10.6084/m9.figshare.679769,3,34,298,6.0,1717986919098,2,0.9423724022977866
10.6084/m9.figshare.749728,4,257,1289,6.0,1717986919144,1,0.9432260061969387
10.6084/m9.figshare.156048,3,41,355,6.0,1717986918607,2,0.9464741627199148
10.6084/m9.figshare.5675431.v2,3,39,115,2.0,1717986918927,1,0.9857721579123122
10.6084/m9.figshare.5732463.v2,4,16,85,2.0,1717986918938,1,0.9855753728315686
10.6084/m9.figshare.679765,3,38,347,6.0,1717986919094,2,0.9423724022977866
10.6084/m9.figshare.815942,4,23,106,6.0,1717986919187,1,0.9429419408681652
10.6084/m9.figshare.904909,4,34,323,5.0,1717986919235,1,0.9580763805936638
10.6084/m9.figshare.104576,4,28,391,6.0,1717986918431,3,0.9427376989565974
10.6084/m9.figshare.5264119,3,133,237,2.0,1717986918850,1,0.9842678282492908
10.6084/m9.figshare.5923915.v1,9,1,33,1.0,1717986918987,1,1.0013235585592606
10.6084/m9.figshare.638006,3,26,345,6.0,1717986919028,1,0.9434639070780841
10.6084/m9.figshare.656876,3,49,212,6.0,1717986919065,1,0.942353237226207
10.6084/m9.figshare.104580,4,35,431,6.0,1717986918435,3,0.9427376989565974
10.6084/m9.figshare.1265056,3,57,389,4.0,1717986918501,1,0.9647229985062266
10.6084/m9.figshare.1286826,5,6325,40105,4.0,1717986918508,1,1.3102749082651934
10.6084/m9.figshare.1455949,6,362,701,4.0,1717986918549,1,0.9655609328186442
10.6084/m9.figshare.4224270.v2,1,62,1155,3.0,1717986918734,1,0.9724853298636604
10.6084/m9.figshare.6099572.v1,4,1,200,1.0,1717986919002,1,0.9936903073857605
10.6084/m9.figshare.687063,3,29,296,6.0,1717986919106,1,0.9446690482131346
10.6084/m9.figshare.833294,1,33,302,6.0,1717986919196,1,0.9441193481520818
10.6084/m9.figshare.96908,1,390,3307,7.0,1717986919296,4,0.9379432735505344
10.6084/m9.figshare.104579,4,37,465,6.0,1717986918434,3,0.9427376989565974
10.6084/m9.figshare.4667959.v1,4,12,301,2.0,1717986918781,1,0.9891937527603698
10.6084/m9.figshare.4800619.v1,6,56,299,2.0,1717986918801,1,0.9930555252142335
10.6084/m9.figshare.757766,4,74,431,6.0,1717986919145,2,0.9464741627199148
10.6084/m9.figshare.841773,6,200,619,6.0,1717986919204,1,0.9526968294881825
10.6084/m9.figshare.4530893.v4,6,1127,2426,2.0,1717986918757,1,0.9851913228655106
10.6084/m9.figshare.5498116.v1,4,5,116,2.0,1717986918887,1,0.9826244944213738
10.6084/m9.figshare.5640796,3,15,129,2.0,1717986918915,1,0.9913979589389988
10.6084/m9.figshare.679831,4,13,303,6.0,1717986919099,2,0.9423724022977866
10.6084/m9.figshare.730446,4,101,825,6.0,1717986919138,1,0.9445037635961999
10.6084/m9.figshare.762434,4,34,270,6.0,1717986919148,1,0.9441193481520818
10.6084/m9.figshare.97386,3,33,370,7.0,1717986919317,2,0.9329764944056839
10.6084/m9.figshare.103706,3,27,453,6.0,1717986918410,1,0.9436514541298651
10.6084/m9.figshare.155795,3,51,423,6.0,1717986918604,3,0.9452967554359982
10.6084/m9.figshare.718155,4,44,444,6.0,1717986919129,1,0.9434864127877208
10.6084/m9.figshare.3545033.v1,3,24,117,3.0,1717986918704,1,0.9910035023198535
10.6084/m9.figshare.6073886.v1,3,15,60,1.0,1717986919000,2,1.0141522798948832
10.6084/m9.figshare.894971,4,88,607,5.0,1717986919226,1,0.9576304741498453
10.6084/m9.figshare.97096,4,14,460,7.0,1717986919305,2,0.9329457612304047
10.6084/m9.figshare.156849,3,15,286,6.0,1717986918613,2,0.9478083614371621
10.6084/m9.figshare.4733020,3,30,137,2.0,1717986918788,1,0.991848188943851
10.6084/m9.figshare.4772131.v1,4,13,209,2.0,1717986918796,1,0.9994439410996003
10.6084/m9.figshare.5202850,3,10,235,2.0,1717986918842,1,0.9847904061308546
10.6084/m9.figshare.812563,4,26,269,6.0,1717986919178,1,0.9441193481520818
10.6084/m9.figshare.c.2861359.v1,6,4,6,3.0,1717986919341,1,0.9711409539318121
10.6084/m9.figshare.5799339,4,10,48,1.0,1717986918946,1,1.0106078025205134
10.6084/m9.figshare.1092521.v1,7,393,784,4.0,1717986918473,1,0.9923445150254258
10.6084/m9.figshare.5688451,6,13,126,2.0,1717986918934,1,1.0675700405849728
10.6084/m9.figshare.5812743.v2,2,130,151,1.0,1717986918953,1,1.0025314576460562
10.6084/m9.figshare.106729,4,240,451,6.0,1717986918467,2,0.9424373377464867
10.6084/m9.figshare.159692,3,35,323,6.0,1717986918634,1,0.9441193481520818
10.6084/m9.figshare.6231662,4,47,114,1.0,1717986919017,1,1.0013235585592606
10.6084/m9.figshare.840512,6,17,266,6.0,1717986919200,1,0.94816558323338
10.6084/m9.figshare.1112485,6,413,1637,5.0,1717986918476,1,0.9561041599930787
10.6084/m9.figshare.5498197.v1,4,4,119,2.0,1717986918889,1,0.9826244944213738
10.6084/m9.figshare.5799303,4,10,66,1.0,1717986918944,1,1.0106078025205134
10.6084/m9.figshare.5923312.v1,4,1,56,1.0,1717986918986,1,1.028881552539487
10.6084/m9.figshare.677103,3,17,199,6.0,1717986919080,2,0.943334409962804
10.6084/m9.figshare.695020,3,11,248,6.0,1717986919112,1,0.9429419408681652
10.6084/m9.figshare.94250,6,324,1182,7.0,1717986919264,1,0.9436675447160409
10.6084/m9.figshare.1159108,4,145,590,3.0,1717986918484,1,0.9713766922034696
10.6084/m9.figshare.1246898,3,77,430,5.0,1717986918495,1,0.9526794125794055
10.6084/m9.figshare.157323,3,23,284,6.0,1717986918630,1,0.9429419408681652
10.6084/m9.figshare.6791120.v1,1,13,33,1.0,1717986919091,1,1.0016993493862638
10.6084/m9.figshare.717189,3,394,1329,6.0,1717986919126,1,0.9426490744804096
10.6084/m9.figshare.92757,4,361,875,7.0,1717986919247,2,0.932740335052859
10.6084/m9.figshare.1159099.v2,5,626,2717,5.0,1717986918483,1,0.9881332758436459
10.6084/m9.figshare.155786,4,25,266,6.0,1717986918598,2,0.9429419408681652
10.6084/m9.figshare.4542433.v6,3,456,3123,2.0,1717986918758,1,0.9852536806964217
10.6084/m9.figshare.5640934,1,16,116,2.0,1717986918918,1,0.9913979589389988
10.6084/m9.figshare.6384164,4,4,17,1.0,1717986919030,1,1.028881552539487
10.6084/m9.figshare.4674922.v1,5,107,160,2.0,1717986918782,1,0.9897856805310522
10.6084/m9.figshare.5561968.v2,1,39,159,1.0,1717986918897,2,1.0070979054132105
10.6084/m9.figshare.5712016,4,6,19,1.0,1717986918936,1,0.9945304166865125
10.6084/m9.figshare.827254,3,46,231,6.0,1717986919192,1,0.9441193481520818
10.6084/m9.figshare.95949,3,87,893,6.0,1717986919274,1,0.943379110813268
10.6084/m9.figshare.33627,1,31,206,8.0,1717986918677,1,0.9242721369259911
10.6084/m9.figshare.915332,4,25,328,5.0,1717986919236,1,0.9576304741498453
10.6084/m9.figshare.92338,4,1195,1492,7.0,1717986919239,4,0.9333178602977101
10.6084/m9.figshare.938214,4,207,734,4.0,1717986919258,1,0.9636586680806216
10.6084/m9.figshare.1514976,9,33,321,4.0,1717986918569,1,0.9630853055643729
10.6084/m9.figshare.4707316,3,635,490,2.0,1717986918787,1,0.9833344908451646
10.6084/m9.figshare.6226964.v2,1,79,66,1.0,1717986919016,1,1.0599469275717421
10.6084/m9.figshare.640096,3,31,369,6.0,1717986919042,1,0.942353237226207
10.6084/m9.figshare.1372041,4,424,7449,3.0,1717986918528,4,1.047036786229029
10.6084/m9.figshare.5151403.v1,2,138,54,2.0,1717986918836,1,0.9911200942165325
10.6084/m9.figshare.5549356,4,18,152,1.0,1717986918893,1,0.9969024900062832
10.6084/m9.figshare.6369134,3,10,50,1.0,1717986919027,1,1.0003288181348409
10.6084/m9.figshare.679764,3,28,192,6.0,1717986919093,2,0.9423724022977866
10.6084/m9.figshare.962952,3,88,532,5.0,1717986919276,1,0.9541155033340429
10.6084/m9.figshare.97091,3,62,437,7.0,1717986919300,2,0.9329713451507995
10.6084/m9.figshare.2067036.v3,9,175,404,3.0,1717986918652,1,0.9723851301719306
10.6084/m9.figshare.5900233.v1,4,3,45,1.0,1717986918974,1,1.002723193434834
10.6084/m9.figshare.731681,4,25,283,6.0,1717986919139,2,0.9464741627199148
10.6084/m9.figshare.97231,3,54,420,6.0,1717986919315,2,0.9441193481520818
10.6084/m9.figshare.154681,3,21,442,6.0,1717986918579,2,0.9424373377464867
10.6084/m9.figshare.815938,3,17,241,6.0,1717986919183,1,0.9437772823165931
10.6084/m9.figshare.978686,4,207,694,5.0,1717986919327,1,0.9516858269952514
10.6084/m9.figshare.c.3966030,1,2,14,3.0,1717986919346,1,0.9910035023198535
10.6084/m9.figshare.1265047,3,90,490,5.0,1717986918500,1,0.9514294573022494
10.6084/m9.figshare.1408851,6,246,717,4.0,1717986918537,1,0.9758304611129833
10.6084/m9.figshare.384512,3,17,501,6.0,1717986918713,2,0.9457843950155186
10.6084/m9.figshare.1157786,3,535,1108,5.0,1717986918482,1,0.9528535735700419
10.6084/m9.figshare.5211916,3,35,251,1.0,1717986918843,1,1.0191736228419073
10.6084/m9.figshare.5663362.v2,4,5,118,2.0,1717986918925,1,0.986919547712772
10.6084/m9.figshare.6086198.v1,3,10,22,1.0,1717986919001,1,1.0218212400321562
10.6084/m9.figshare.6327221,6,9,39,1.0,1717986919023,1,1.0191736228419073
10.6084/m9.figshare.654019,4,75,587,6.0,1717986919060,1,0.9522085703327424
10.6084/m9.figshare.92819,3,116,1421,7.0,1717986919248,2,0.932740335052859
10.6084/m9.figshare.103767,3,13,254,6.0,1717986918415,2,0.9421577857050534
10.6084/m9.figshare.715890,4,2909,698,6.0,1717986919125,1,0.9423860401057564
10.6084/m9.figshare.878459,3,367,702,6.0,1717986919218,1,0.9422768516578893
10.6084/m9.figshare.97094,4,18,412,7.0,1717986919303,2,0.9329457612304047
10.6084/m9.figshare.2066640,6,271,489,3.0,1717986918651,1,0.9742142199178437
10.6084/m9.figshare.5382565.v1,3,125,473,2.0,1717986918865,2,1.0146366694875004
10.6084/m9.figshare.6789917,9,4,21,1.0,1717986919089,1,1.0150130815429446
10.6084/m9.figshare.805195,4,10,289,6.0,1717986919167,1,0.9441193481520818
10.6084/m9.figshare.821273,4,40,147,6.0,1717986919191,1,0.9441193481520818
10.6084/m9.figshare.1566809,9,315,1159,4.0,1717986918609,1,0.9614373530557406
10.6084/m9.figshare.4258328.v1,2,6,176,3.0,1717986918737,1,0.9735987145451396
10.6084/m9.figshare.5621260.v1,6,738,2865,1.0,1717986918911,1,1.1048324270895236
10.6084/m9.figshare.5907349.v1,4,5,74,1.0,1717986918979,1,1.0009712546589453
10.6084/m9.figshare.6632942,3,18,54,1.0,1717986919069,1,0.997647343947274
10.6084/m9.figshare.988687,4,1525,2581,5.0,1717986919334,1,0.952782775438892
10.6084/m9.figshare.104581,4,19,375,6.0,1717986918436,3,0.9427376989565974
10.6084/m9.figshare.1512512,6,32,475,4.0,1717986918567,1,0.9622106895915172
10.6084/m9.figshare.106410,4,38,361,6.0,1717986918455,3,0.9431774223249485
10.6084/m9.figshare.3398062.v1,9,87,504,3.0,1717986918683,1,0.9746927859503406
10.6084/m9.figshare.3443876.v3,6,734,5914,1.0,1717986918697,1,0.9951048411388346
10.6084/m9.figshare.5259415,3,44,1181,2.0,1717986918849,1,0.9814002482513794
10.6084/m9.figshare.679768,3,22,194,6.0,1717986919097,2,0.9423724022977866
10.6084/m9.figshare.4244126.v3,6,37,519,3.0,1717986918735,1,0.9834212217246482
10.6084/m9.figshare.4806619,3,278,462,2.0,1717986918805,2,0.9850503155359923
10.6084/m9.figshare.4816720,3,432,2102,2.0,1717986918808,1,0.9852536806964217
10.6084/m9.figshare.5255365.v1,4,30,200,2.0,1717986918847,1,0.9852536806964217
10.6084/m9.figshare.5918701.v1,4,7,117,1.0,1717986918982,1,1.0119098072093653
10.6084/m9.figshare.5552656,3,129,250,1.0,1717986918894,2,1.0180086712781977
10.6084/m9.figshare.5640985,6,18,707,2.0,1717986918921,1,0.9913979589389988
10.6084/m9.figshare.5688469,6,19,64,2.0,1717986918935,1,1.0675700405849728
10.6084/m9.figshare.5820753,3,0,67,1.0,1717986918961,1,1.0106078025205134
10.6084/m9.figshare.659413,3,102,161,6.0,1717986919067,1,0.9429419408681652
10.6084/m9.figshare.4640707,3,120,229,2.0,1717986918773,1,0.9822475591404869
10.6084/m9.figshare.775366,3,65,189,6.0,1717986919152,1,0.9420261796473413
10.6084/m9.figshare.924740,3,96,573,4.0,1717986919244,1,0.9612539238383485
10.6084/m9.figshare.97212,3,35,494,7.0,1717986919312,2,0.9332601077732251
10.6084/m9.figshare.1030403,6,30,320,5.0,1717986918405,1,0.9573517349328465
10.6084/m9.figshare.3382504.v3,4,51,444,3.0,1717986918680,1,0.9838563078766785
10.6084/m9.figshare.4206429,4,33,720,3.0,1717986918731,1,0.9717137310037313
10.6084/m9.figshare.4787575.v1,3,95,164,2.0,1717986918798,1,0.980945620443866
10.6084/m9.figshare.732739,3,335,323,6.0,1717986919141,2,0.9464741627199148
10.6084/m9.figshare.801049,4,38,162,6.0,1717986919165,1,0.9441193481520818
10.6084/m9.figshare.902838,4,52,453,5.0,1717986919232,1,0.9621150571896404
10.6084/m9.figshare.1416304.v1,6,160,213,4.0,1717986918538,1,0.9713799079133193
10.6084/m9.figshare.1452900,3,18,418,4.0,1717986918548,1,0.9614925296407302
10.6084/m9.figshare.1461721,9,230,854,4.0,1717986918551,1,1.0893579582271053
10.6084/m9.figshare.1512427.v5,3,11876,26478,2.0,1717986918566,1,1.0190303920970742
10.6084/m9.figshare.156850,3,60,275,6.0,1717986918614,2,0.9478083614371621
10.6084/m9.figshare.3856134,6,167,1582,3.0,1717986918715,1,1.0092772523388271
10.6084/m9.figshare.5897272,11,7,31,1.0,1717986918973,1,0.995874591567716
10.6084/m9.figshare.829534,4,50,390,6.0,1717986919194,1,0.9441193481520818
10.6084/m9.figshare.4595284,9,62,242,2.0,1717986918766,1,0.9869050258410944
10.6084/m9.figshare.723321,4,27,369,6.0,1717986919131,1,0.9441193481520818
10.6084/m9.figshare.924690,4,50,428,5.0,1717986919243,1,0.9576304741498453
10.6084/m9.figshare.92682,4,454,1134,7.0,1717986919246,3,0.9331247967832494
10.6084/m9.figshare.928547,4,29,422,5.0,1717986919253,1,1.3399284525627404
10.6084/m9.figshare.1517802,6,150,399,4.0,1717986918571,1,0.962238018257368
10.6084/m9.figshare.157079,3,18,289,6.0,1717986918619,3,0.9580040655538763
10.6084/m9.figshare.5437420.v1,3,145,305,2.0,1717986918876,1,0.9985656046031527
10.6084/m9.figshare.678214,3,20,251,6.0,1717986919082,2,0.9436395249245711
10.6084/m9.figshare.1189330,6,504,2187,5.0,1717986918489,1,0.9985271394501848
10.6084/m9.figshare.5868528,4,12,39,1.0,1717986918966,1,0.995779103734625
10.6084/m9.figshare.5928604.v1,9,7,62,1.0,1717986918988,1,1.0029937400126077
10.6084/m9.figshare.1180122,3,687,2614,4.0,1717986918486,2,0.9953828318656773
10.6084/m9.figshare.1502664.v1,1,51,1584,4.0,1717986918562,1,0.9774316043481741
10.6084/m9.figshare.1619902.v2,6,1939,18972,3.0,1717986918641,1,0.9765096987858691
10.6084/m9.figshare.3187063.v1,3,132,1271,3.0,1717986918671,1,0.9735987145451396
10.6084/m9.figshare.6384248,4,16,68,1.0,1717986919031,1,1.0106078025205134
10.6084/m9.figshare.641445,4,13,377,6.0,1717986919046,1,0.9441193481520818
10.6084/m9.figshare.646162,3,30,251,6.0,1717986919048,1,0.942353237226207
10.6084/m9.figshare.812579,3,21,227,6.0,1717986919179,1,0.9441193481520818
10.6084/m9.figshare.153795,4,11,312,6.0,1717986918575,2,0.9441193481520818
10.6084/m9.figshare.3175198.v1,5,185,1647,3.0,1717986918667,1,0.9975130077478346
10.6084/m9.figshare.963054.v1,3,2141,9761,5.0,1717986919278,3,0.9849675293128454
10.6084/m9.figshare.154970,3,100,464,6.0,1717986918589,2,0.9441804894302477
10.6084/m9.figshare.1558319,5,53,367,4.0,1717986918606,1,0.9615076715628277
10.6084/m9.figshare.157211,3,21,347,6.0,1717986918625,2,0.943555566305821
10.6084/m9.figshare.3841173.v2,4,48,416,2.0,1717986918709,1,0.9871628014233059
10.6084/m9.figshare.6613289,4,0,39,1.0,1717986919068,1,0.9987869704769898
10.6084/m9.figshare.94031,3,129,1596,6.0,1717986919259,2,0.9441193481520818
10.6084/m9.figshare.5788125.v1,4,15,121,1.0,1717986918943,1,1.0052448541453798
10.6084/m9.figshare.777781,3,19,332,6.0,1717986919154,3,1.004747573420374
10.6084/m9.figshare.775365,3,59,274,6.0,1717986919151,1,0.9420261796473413
10.6084/m9.figshare.841658,4,55,438,6.0,1717986919202,1,0.9425494717735264
