pub_decay_time,data_decay_time,diff,alpha,corr
10,30,20,0.15,0.326024806
30,50,20,0.15,0.331428334
50,70,20,0.15,0.332204088
10,30,20,0.05,0.326414248
30,50,20,0.05,0.331487431
50,70,20,0.05,0.332250604
1,20,19,0.15,0.247458866
1,20,19,0.05,0.259687273
5,20,15,0.15,0.315927324
5,20,15,0.05,0.317427525
10,20,10,0.15,0.32553156
20,30,10,0.15,0.33030473
10,20,10,0.05,0.326145869
20,30,10,0.05,0.33045512
1,10,9,0.15,0.224851133
1,10,9,0.05,0.242411377
5,10,5,0.15,0.311424028
5,10,5,0.05,0.314245485
1,5,4,0.15,0.207660905
1,5,4,0.05,0.228253583
1,1,0,0.15,0.20438521
5,5,0,0.15,0.306026934
10,10,0,0.15,0.322930812
20,20,0,0.15,0.330045838
30,30,0,0.15,0.331687244
50,50,0,0.15,0.3324973
70,70,0,0.15,0.332658698
100,100,0,0.15,0.332690321
1,1,0,0.05,0.22439784
5,5,0,0.05,0.310087658
10,10,0,0.05,0.324297751
20,20,0,0.05,0.330340275
30,30,0,0.05,0.331770949
50,50,0,0.05,0.332516751
70,70,0,0.05,0.332689749
100,100,0,0.05,0.332749079
5,1,-4,0.15,0.30065635
5,1,-4,0.05,0.305250509
10,5,-5,0.15,0.319253466
10,5,-5,0.05,0.321425578
10,1,-9,0.15,0.314467133
10,1,-9,0.05,0.317215055
20,10,-10,0.15,0.328166153
30,20,-10,0.15,0.331491573
20,10,-10,0.05,0.328998251
30,20,-10,0.05,0.331697149
20,5,-15,0.15,0.32520901
20,5,-15,0.05,0.326666542
20,1,-19,0.15,0.320837665
20,1,-19,0.05,0.322852358
30,10,-20,0.15,0.329817968
50,30,-20,0.15,0.332774099
70,50,-20,0.15,0.332950759
30,10,-20,0.05,0.330500084
50,30,-20,0.05,0.332808995
70,50,-20,0.05,0.332954121
